,A1CISHET,A1LGBTQ+,A2CISHET,A2LGBTQ+,Duration (in seconds),Finished,Duplicate Respondent,SOGI,SOGI details,Age,prompt_order
2,,,A cis man and a cis woman go on a date to a boring high-end restaurant. They talk about boring stuff like business and money. Man gaslights her. She gets jealous about his old relationships. Guy pays for the dinner and that’s it.,A trans man and a nonbinary person go on a date to a middle-eastern restaurant. They talk about interesting stuff like politics and intersectional resistance against patriarchal capital driven oppression. They talk about their relationship experiences while giving each other constructive feedback. They share the bill and go home. ,358,True,True,Yes,Agender under nonbinary umbrella. Pansexual but leaning towards androgyny. ,25–34,2
3,"A man falls in love with a female coworker, on a work trip. ","A non binary person falls in love with a coworker, a cisgender queer female, on a work trip. ",,,488,True,True,Yes,Non binary queer person ,25–34,1
4,,,"A man and a woman go on a first date to the fair. They enjoy some snacks, try out the different rides, bond over their fears and goals, and end the date with a kiss.","Two men go on a first date to the fair. They enjoy some snacks, try out the different rides, bond over their fears and goals, and end the date with a kiss.",50865,True,True,Yes,cisgender gay man,18–24,2
5,"A woman who owns a building in Lyon calls in a male electrician to deal with a major power outage. As they work together, they bond over their shared love of Thomas Edison and as the lights come back on, they make plans to meet later that evening.","A transgender woman who owns a building in Lyon calls in a female electrician to deal with a major power outage. As they work together, they bond over their shared love of Thomas Edison and as the lights come back on, they make plans to meet later that evening.",,,905,True,True,Yes,,25–34,1
10,,,"A woman walk along a highway alone at night, a man stop his car and take her for a ride. They spent hours listening too music's, looking at the city lights ","A woman walk along a highway alone at night, a other woman stop his car and take her for a ride. They spent hours listening too music's, looking at the city lights ",143,True,True,Yes,Lesbian,25–34,2
16,,,"Julie was strolling through the Christmas market with her friends, when she stumbled and tripped right into a man's booth, knocking everything down. Matt looked up and saw a gorgeous woman blushing in front of him, stuttering over her words...","John was strolling through the Christmas market with his friends, when he stumbled and tripped right into a man's booth, knocking everything down. Matt looked up and saw a gorgeous man blushing in front of him, stuttering over his words...",556,True,True,No,,18–24,2
17,"Jacklyn and Mohammed decided to go out after working in the same protest organisation for a few months. Exploring hardships, climate dread, outrage fatigue, the silences between them grew, and they now have to reconcile with the beauty and dread of humanity in the shape of two. ","Two enbies, Blake and Sasha, decided to go out after working in the same protest organisation for a few months. Exploring hardships, climate dread, outrage fatigue, the silences between them grew, and they now have to reconcile with the beauty and dread of humanity in the shape of two. ",,,884,True,True,Yes,"Gender: non-binary; trans 
Sexuality: pansexual ",18–24,1
18,"Stuck in the forest and anxious about being with a fairly strange person, the couple starts getting into fights about small nitpicks in each others' behaviors coping with the situation.","Being all alone in the forest, the two men forget the meaning of too much information and start opening up about things one would never say on a first date becoming really intimate.",,,666,True,True,Prefer not to say,,18–24,1
19,"A man and a woman are moving in together after a 6 months long relationship, but secrets start to unfold on the way to the new apartment…","Two women are moving in together after a 6 months long relationship, but secrets start to unfold on the way to the new apartment…",,,92,True,True,Yes,,18–24,1
20,,,A man and a woman in their twenties are stuck together in a ferris wheel at an amusement park. Their time together alone brought them closer together and started a new spark between the two.,Two women in their twenties are stuck together in a ferris wheel at an amusement park. Their time together alone brought them closer together and started a new spark between the two.,151,True,True,Yes,,18–24,2
21,"A woman's ghost in the cinema falls in love with the man playing main character in a film. When the film performs poorly at box office in the first week, the theatre decides to pull it...but not if the ghost has something to say about it.","A woman's ghost in the cinema falls in love with the woman playing main character in a film. When the film performs poorly at box office in the first week, the theatre decides to pull it...but not if the ghost has something to say about it.",,,390,True,True,Yes,"Non binary, bisexual",25–34,1
22,,,"He was a costumer, she was a waiter. And everytime she was working, he was there to ask a coffee.","He was a costumer, he was a waiter. And everytime he was working, he was there to ask a coffee.",456,True,True,Prefer not to say,,18–24,2
23,,,"A woman on a trip for her work meets a man at a professional party, then talk all of the evening and she has a crush on him. The next day she realizes she forgot to ask for his number. ","A woman on a trip for her work meets another woman at a professional party, then talk all of the evening and she has a crush on her. The next day she realizes she forgot to ask for his number. ",283,True,True,Yes,Bisexual,18–24,2
24,,,"An author moves from her big city apartment to a castle in the countryside in search of inspiration for her next novel. There, she meets the man who takes care of the gardens, and together they try to uncover the secrets hidden on the grounds.","An author moves from her big city apartment  to a castle in the countryside in search of inspiration for their next novel. There, she meets the woman who takes care of the gardens, and together they try to uncover the secrets hidden on the grounds.",439,True,True,Yes,,18–24,2
25,,,"On their way out from their first date, Jack and Barb share a thoughtful glance. Just as Barb was about to ask a question, they both sense a strange change in the air…","On their way out from their first date, Noa and Terry share a thoughtful glance. Just as Noa was about to ask a question, they both sense a strange change in the air",452,True,True,Yes,"Gay, agender, but broadly identify as queer",25–34,2
26,"A woman and a man meet in a bar on New Year’s Eve, they dance together. However when midnight strikes, just as they finished kissing, one suddenly disappears in the night. ","Two women meet in a bar on New Year’s Eve, they dance together. However when midnight strikes, just as they finished kissing, one suddenly disappears in the night. ",,,324,True,True,Yes,,18–24,1
27,"Two fifty-old persons, a woman and a man, were sat inside a restaurant, holding each other's hand. They were waiting to be served when, suddenly, they heard a scream coming from the kitchen. ","Two fifty-old women were sat inside a restaurant, holding each other's hand. They were waiting to be served when, suddenly, they heard a scream coming from the kitchen. ",,,652,True,True,Yes,,18–24,1
29,,,"A woman and a man grew old together and lived in an old house with a small garden for 30 years. Every time first day of spring, the woman would open all the windows letting the sun in.","Two women grew old together and lived in an old house with a small garden for 30 years. Every time first day of spring, the one woman would open all the windows letting the sun in.",213,True,True,No,,18–24,2
30,"A couple, in their early twenties, goes on a date Ice Skating. On the ice they hold hands and eat churros. ","A gay couple, in their early twenties, goes on a date Ice Skating. On the ice they hold hands and eat churros. ",,,30,True,True,No,,18–24,1
31,,,"A woman and a man, both in their late 60s, struggle with coping with loneliness in their old age. Then, on a usual day at the grocery store, they accidentally mix up their shopping carts... ","Two women, both in their late 60s, struggle with coping with loneliness in their old age. Then, on a usual day at the grocery store, they accidentally mix up their shopping carts... ",3653,True,True,Yes,I'm a queer woman that doesn't really use labels,18–24,2
32,,,"A woman and a man both visit the same activity club/course regularly. They end up spending more time together because of an assigned paired task, and end up finding out more about each other's lives and grow cloae with each other","Two people both visit the same activity club/course regularly. They end up spending more time together because of an assigned paired task, and end up finding out more about each other's lives and grow cloae with each other",168,True,True,Yes,"Queer! (Bisexual, nonbinary)",25–34,2
33,,,"1850s, the Russian Empire. One day, Basil, a 35-year-old noble man, oldest child and future heir, encounters Beth, a young peasant woman from the village in Basil's family possession. However, class struggles render their union impossible, driving Beth to insanity and ultimate demise.","1850s, the Russian Empire. One day, BASIL, a 35-year-old noble man, oldest child and future heir, encounters Alex, a young peasant man from the village in Basil's family possession. However, class struggles render their union impossible, driving Alex to insanity and ultimate demise.",480,True,True,I don't know,,18–24,2
34,,,"A male engineer in his late thirties encounters a woman he used to date in the university when she joins his department as a colleague. Despite both being happily married, the newly hired woman discovers lingering feelings for her colleague and writes him a love letter.","A female engineer in her late thirties encounters a woman she used to date in the university when she joins her department as a colleague. Despite both being happily married, the newly hired woman discovers lingering feelings for her colleague and writes her a love letter.",1232,True,True,Yes,"Lesbian, cisgender ",18–24,2
35,,,"A 24-year-old man and a woman meet to go to the cinema for their first date, but they find that the screening has been postponed due to an incident in front of the cinema.","A 24-year-old trans woman and a non-binary man meet for their first date to go to the cinema, but they find out that the screening has been postponed because of an incident outside the cinema.",242,True,True,Yes,"non-binary, pan-romantic, asexual",25–34,2
36,A man scientist reunites with a woman scientist in a small Arctic research station to observe a glowing flower. They have to confront the fact that they are becoming attracted to each other when a strong storm traps them there.,Two nonbinary scientists reunite in a small research Station in the Arctic to examine a glowing flower. They have to confront the fact that they are becoming attracted to each other when a strong storm traps them there.,,,126,True,True,No,,25–34,1
37,,,"A woman and a man engage in light-hearted office rivalry while slowly coming to realize that their long-standing mutual hatred might hide something more profound. The preparation for the company's big Christmas event puts their feelings to the test, uncovering the admiration, respect, and jealousy they feel for each other, and ultimately ends in a true love's kiss under the mistletoe. ","Two men engage in not-so light-hearted office rivalry while slowly coming to realize that their long-standing mutual hatred might hide something more profound. The preparation for the company's big Christmas event puts their feelings to the test, uncovering the admiration, respect, and jealousy they feel for each other, and ultimately ends in a true love's kiss under the mistletoe. ",1484,True,True,Yes,,18–24,2
73,"After talking for a couple of weeks, a guy and a girl go on their very anticipated first date. The Christmas markets being open this time of year, they decide to try them out. ","After talking for a couple of weeks, two guys go on their very anticipated first date. The Christmas markets being open this time of year, they decide to try them out. ",,,376,True,True,Yes,,18–24,1
