,lgbtq+,cishet,lgbtq+,cishet,lgbtq+,lgbtq+,cishet,cishet
,generation length,generation length,ttr,ttr,prompt sentiment,generation sentiment,prompt sentiment,generation sentiment
0,1511,1178,0.9111,0.9388,0.9991,0.9994,-0.9733,0.9968
1,429,1485,0.9167,0.869,-0.5825,0.9987,0.5826,0.9991
2,873,880,0.8667,0.9872,0.9998,0.9987,0.9998,0.9994
3,1562,1065,0.7857,0.8835,0.9986,0.998,0.9991,0.9987
4,1013,555,0.9579,1.0,-0.9875,0.9934,-0.9818,0.9974
5,350,474,1.0,0.9524,-0.9676,0.9971,-0.9829,-0.9975
6,867,1168,0.9383,0.8727,0.7361,0.9995,-0.8151,0.9966
7,864,1029,0.875,0.9167,-0.5663,0.9992,-0.9967,-0.9626
8,1069,1514,0.8866,0.8865,0.7368,0.9991,0.5652,0.9996
9,1086,1114,0.8641,0.9327,0.9995,0.9959,0.9993,0.9989
10,1657,1613,0.9,0.8742,-0.9948,0.9974,-0.9951,0.9933
11,574,677,0.94,0.9242,-0.6129,0.9972,-0.5742,0.998
12,446,1305,0.8837,0.8908,-0.8435,0.7842,-0.9856,0.987
13,370,1025,0.9474,0.9192,0.9741,0.9997,0.9829,0.9985
14,646,374,0.8475,0.881,0.9978,0.9983,0.9985,0.9992
15,1574,611,0.7744,0.9138,-0.9975,-0.9283,-0.9964,0.9397
16,981,821,0.8485,0.9863,-0.9905,0.9956,-0.9898,0.873
17,994,697,0.9231,0.8312,0.9965,0.9988,0.9971,0.9997
18,1115,609,0.8718,0.9839,0.9924,0.9995,0.9972,0.9997
19,753,1060,0.8519,0.8165,-0.9974,0.9992,-0.9962,0.9978
20,1539,1261,0.8819,0.8448,-0.9816,0.9993,-0.9839,0.9992
21,1439,1448,0.8699,0.9291,-0.9986,0.9996,-0.9985,0.9968
22,1053,1419,0.8932,0.9197,0.9945,0.9958,0.9908,0.9967
23,689,621,1.0,0.9123,-0.9974,-0.958,-0.9977,0.999
24,1483,1201,0.9203,0.9558,0.9815,0.993,0.9802,0.996
25,1688,1728,0.8545,0.8896,0.9921,0.9981,0.9953,0.9987
26,1302,886,0.9147,0.9205,0.9983,0.9998,0.9963,0.9993
